날짜,시간,코호트,세션기간(초),항목URL,종료URL,브라우저,디바이스,OS,국가,페이지수,클릭수,검색여부,쿠폰사용,장바구니담기,찜하기수,리뷰읽기,구매완료
2026-03-22,18:30,cohort_C,63,/ecommerce,/ecommerce/product/f1,ChromeMobile,Mobile,iOS,KR,4,6,FALSE,FALSE,FALSE,1,FALSE,FALSE
2026-03-22,20:10,cohort_C,105,/ecommerce/category/fashion,/ecommerce/product/f5,Safari,Mobile,iOS,KR,5,8,FALSE,FALSE,TRUE,0,FALSE,FALSE
2026-03-22,21:45,cohort_C,78,/ecommerce,/ecommerce/category/fashion,ChromeMobile,PC,Windows,KR,4,7,FALSE,FALSE,FALSE,1,FALSE,FALSE
2026-03-23,07:40,cohort_C,140,/ecommerce,/ecommerce/order-complete,Chrome,PC,Windows,KR,6,10,FALSE,FALSE,TRUE,2,FALSE,TRUE
2026-03-23,09:15,cohort_C,92,/ecommerce,/ecommerce/product/f9,ChromeMobile,Mobile,Android,KR,5,9,FALSE,FALSE,FALSE,0,FALSE,FALSE
2026-03-23,11:00,cohort_C,125,/ecommerce,/ecommerce/order-complete,Safari,PC,MacOS,KR,7,11,FALSE,FALSE,TRUE,1,FALSE,TRUE
2026-03-23,12:50,cohort_C,60,/ecommerce,/ecommerce/product/f2,ChromeMobile,Mobile,iOS,KR,4,5,FALSE,FALSE,FALSE,0,FALSE,FALSE
2026-03-23,14:25,cohort_C,115,/ecommerce/category/fashion,/ecommerce/order-complete,Chrome,PC,Windows,KR,6,10,FALSE,FALSE,TRUE,2,FALSE,TRUE
2026-03-23,16:10,cohort_C,82,/ecommerce,/ecommerce/product/f4,Safari,Mobile,iOS,KR,4,7,FALSE,FALSE,FALSE,1,FALSE,FALSE
2026-03-23,18:45,cohort_C,137,/ecommerce,/ecommerce/order-complete,ChromeMobile,Mobile,Android,KR,5,8,FALSE,FALSE,TRUE,0,FALSE,TRUE
2026-03-23,20:20,cohort_C,70,/ecommerce,/ecommerce/category/fashion,Chrome,PC,MacOS,KR,5,6,FALSE,FALSE,FALSE,1,FALSE,FALSE
2026-03-23,21:55,cohort_C,100,/ecommerce,/ecommerce/product/f6,ChromeMobile,PC,Windows,KR,6,12,FALSE,FALSE,TRUE,2,FALSE,FALSE
2026-03-23,22:30,cohort_C,145,/ecommerce,/ecommerce/order-complete,Safari,PC,MacOS,KR,7,10,FALSE,FALSE,FALSE,0,FALSE,FALSE
2026-03-22,08:05,cohort_D,22,/ecommerce/product/b3,/ecommerce/order-complete,Chrome,PC,Windows,KR,2,3,FALSE,FALSE,TRUE,0,FALSE,TRUE
2026-03-22,09:18,cohort_D,45,/ecommerce/product/t6,/ecommerce/order-complete,Chrome,PC,MacOS,KR,3,5,FALSE,FALSE,TRUE,0,FALSE,TRUE
2026-03-22,11:30,cohort_D,18,/ecommerce/product/f4,/ecommerce/order-complete,Safari,PC,MacOS,KR,2,3,FALSE,FALSE,TRUE,0,FALSE,TRUE
2026-03-22,13:50,cohort_D,37,/ecommerce,/ecommerce/order-complete,Chrome,PC,Windows,KR,3,4,FALSE,FALSE,TRUE,0,FALSE,TRUE
2026-03-22,15:25,cohort_D,55,/ecommerce/product/l2,/ecommerce/order-complete,Chrome,PC,Windows,KR,4,6,FALSE,FALSE,TRUE,0,FALSE,TRUE
2026-03-22,17:10,cohort_D,28,/ecommerce/product/d5,/ecommerce/order-complete,Chrome,Mobile,MacOS,KR,2,4,FALSE,FALSE,TRUE,0,FALSE,TRUE
2026-03-22,19:40,cohort_D,15,/ecommerce/product/b7,/ecommerce/order-complete,Chrome,PC,Windows,KR,2,3,FALSE,FALSE,TRUE,0,FALSE,TRUE
2026-03-22,21:05,cohort_D,42,/ecommerce/category/tech,/ecommerce/order-complete,Safari,PC,MacOS,KR,3,5,FALSE,FALSE,TRUE,0,FALSE,TRUE
2026-03-23,07:35,cohort_D,60,/ecommerce,/ecommerce/order-complete,Chrome,PC,Windows,KR,4,6,FALSE,FALSE,TRUE,0,FALSE,TRUE
2026-03-23,10:20,cohort_D,33,/ecommerce/product/t1,/ecommerce/order-complete,Chrome,PC,MacOS,KR,3,4,FALSE,FALSE,TRUE,0,FALSE,TRUE
2026-03-23,12:45,cohort_D,19,/ecommerce/product/f8,/ecommerce/order-complete,Chrome,PC,Windows,KR,2,3,FALSE,FALSE,TRUE,0,FALSE,TRUE
2026-03-23,14:30,cohort_D,50,/ecommerce/product/l5,/ecommerce/cart,Chrome,Mobile,MacOS,KR,3,5,FALSE,FALSE,TRUE,0,FALSE,FALSE
2026-03-23,16:55,cohort_D,25,/ecommerce,/ecommerce/order-complete,Chrome,PC,Windows,KR,2,4,FALSE,FALSE,TRUE,0,FALSE,TRUE
2026-03-23,19:15,cohort_D,40,/ecommerce/product/d9,/ecommerce/order-complete,Safari,PC,MacOS,KR,3,5,FALSE,FALSE,TRUE,0,FALSE,TRUE
2026-03-23,22:00,cohort_D,48,/ecommerce/category/beauty,/ecommerce/order-complete,Chrome,PC,Windows,KR,4,6,FALSE,FALSE,TRUE,0,FALSE,FALSE
2026-03-22,06:30,cohort_E,185,/ecommerce,/ecommerce/cart,Chrome,PC,Windows,KR,7,12,TRUE,FALSE,TRUE,4,FALSE,FALSE
2026-03-22,08:50,cohort_E,240,/ecommerce/category/fashion,/ecommerce/product/f3,Safari,Mobile,iOS,KR,8,16,FALSE,FALSE,TRUE,5,FALSE,FALSE
2026-03-22,10:15,cohort_E,155,/ecommerce,/ecommerce/product/l4,ChromeMobile,Mobile,Android,KR,6,10,TRUE,FALSE,FALSE,3,TRUE,FALSE
2026-03-22,11:45,cohort_E,290,/ecommerce,/ecommerce/cart,Chrome,PC,MacOS,KR,9,18,TRUE,FALSE,TRUE,6,FALSE,FALSE
2026-03-22,13:30,cohort_E,175,/ecommerce/category/living,/ecommerce/product/l7,Safari,PC,MacOS,KR,7,14,FALSE,FALSE,TRUE,4,FALSE,FALSE
2026-03-22,15:10,cohort_E,210,/ecommerce,/ecommerce/cart,ChromeMobile,Mobile,iOS,KR,8,15,TRUE,FALSE,FALSE,5,TRUE,FALSE
2026-03-22,17:00,cohort_E,265,/ecommerce,/ecommerce/category/fashion,Chrome,PC,Windows,KR,10,20,FALSE,FALSE,TRUE,7,FALSE,FALSE
2026-03-22,18:55,cohort_E,140,/ecommerce,/ecommerce/product/b2,ChromeMobile,Mobile,Android,KR,5,9,TRUE,FALSE,TRUE,3,FALSE,FALSE
2026-03-22,20:35,cohort_E,300,/ecommerce/category/fashion,/ecommerce/cart,Safari,PC,iOS,KR,9,17,FALSE,FALSE,TRUE,6,FALSE,FALSE
2026-03-22,22:20,cohort_E,195,/ecommerce,/ecommerce/product/t5,Chrome,PC,Windows,KR,7,13,TRUE,FALSE,FALSE,4,TRUE,FALSE
2026-03-23,06:15,cohort_E,230,/ecommerce,/ecommerce/cart,ChromeMobile,Mobile,Android,KR,8,16,TRUE,FALSE,TRUE,5,FALSE,FALSE
2026-03-23,08:30,cohort_E,160,/ecommerce,/ecommerce/product/d3,Chrome,PC,MacOS,KR,6,11,FALSE,FALSE,FALSE,3,FALSE,FALSE
2026-03-23,10:05,cohort_E,275,/ecommerce/category/living,/ecommerce/category/fashion,Safari,Mobile,iOS,KR,9,19,TRUE,FALSE,TRUE,7,TRUE,FALSE
2026-03-23,11:50,cohort_E,120,/ecommerce,/ecommerce/product/f8,ChromeMobile,Mobile,Android,KR,5,8,FALSE,FALSE,TRUE,4,FALSE,FALSE
2026-03-23,13:45,cohort_E,250,/ecommerce,/ecommerce/cart,Chrome,PC,Windows,KR,8,15,TRUE,FALSE,FALSE,5,FALSE,FALSE
2026-03-23,15:20,cohort_E,190,/ecommerce,/ecommerce/product/l1,Safari,PC,MacOS,KR,7,14,FALSE,FALSE,TRUE,6,FALSE,FALSE
2026-03-23,17:35,cohort_E,285,/ecommerce/category/fashion,/ecommerce/cart,Chrome,PC,Windows,KR,10,18,TRUE,FALSE,TRUE,4,TRUE,FALSE
2026-03-23,19:10,cohort_E,145,/ecommerce,/ecommerce/category/living,ChromeMobile,Mobile,iOS,KR,6,10,FALSE,FALSE,FALSE,3,FALSE,FALSE
2026-03-23,21:00,cohort_E,220,/ecommerce,/ecommerce/order-complete,Chrome,PC,MacOS,KR,8,17,TRUE,FALSE,TRUE,5,FALSE,TRUE
2026-03-23,22:45,cohort_E,170,/ecommerce,/ecommerce/product/b9,Safari,PC,Windows,KR,7,13,FALSE,FALSE,TRUE,6,TRUE,FALSE
